validdate,moon_phase
2024-10-26T00:00:00Z,-0.375
2024-10-27T00:00:00Z,-0.312
2024-10-28T00:00:00Z,-0.25
2024-10-29T00:00:00Z,-0.188
2024-10-30T00:00:00Z,-0.125
2024-10-31T00:00:00Z,-0.062
2024-11-01T00:00:00Z,0.0
2024-11-02T00:00:00Z,0.031
2024-11-03T00:00:00Z,0.094
2024-11-04T00:00:00Z,0.156
2024-11-05T00:00:00Z,0.219
2024-11-06T00:00:00Z,0.281
2024-11-07T00:00:00Z,0.375
2024-11-08T00:00:00Z,0.438
2024-11-09T00:00:00Z,0.5
2024-11-10T00:00:00Z,0.562
2024-11-11T00:00:00Z,0.656
2024-11-12T00:00:00Z,0.719
2024-11-13T00:00:00Z,0.781
2024-11-14T00:00:00Z,0.875
2024-11-15T00:00:00Z,0.938
2024-11-16T00:00:00Z,-0.969
2024-11-17T00:00:00Z,-0.906
2024-11-18T00:00:00Z,-0.812
2024-11-19T00:00:00Z,-0.75
2024-11-20T00:00:00Z,-0.688
2024-11-21T00:00:00Z,-0.625
2024-11-22T00:00:00Z,-0.562
2024-11-23T00:00:00Z,-0.5
2024-11-24T00:00:00Z,-0.438
2024-11-25T00:00:00Z,-0.375
2024-11-26T00:00:00Z,-0.312
2024-11-27T00:00:00Z,-0.25
2024-11-28T00:00:00Z,-0.188
2024-11-29T00:00:00Z,-0.125
2024-11-30T00:00:00Z,-0.062
2024-12-01T00:00:00Z,0.0
2024-12-02T00:00:00Z,0.062
2024-12-03T00:00:00Z,0.125
2024-12-04T00:00:00Z,0.188
2024-12-05T00:00:00Z,0.25
2024-12-06T00:00:00Z,0.344
2024-12-07T00:00:00Z,0.406
2024-12-08T00:00:00Z,0.469
2024-12-09T00:00:00Z,0.531
2024-12-10T00:00:00Z,0.625
2024-12-11T00:00:00Z,0.688
2024-12-12T00:00:00Z,0.75
2024-12-13T00:00:00Z,0.844
2024-12-14T00:00:00Z,0.906
2024-12-15T00:00:00Z,1.0
2024-12-16T00:00:00Z,-0.938
2024-12-17T00:00:00Z,-0.875
2024-12-18T00:00:00Z,-0.812
2024-12-19T00:00:00Z,-0.719
2024-12-20T00:00:00Z,-0.656
2024-12-21T00:00:00Z,-0.594
2024-12-22T00:00:00Z,-0.531
2024-12-23T00:00:00Z,-0.469
2024-12-24T00:00:00Z,-0.406
2024-12-25T00:00:00Z,-0.375
